material,epsilon_mode,pressure_mpa,thickness_nm,epsilon_r_t_zz,e33_c_per_m2,d33_c_per_n,d33_pm_per_v,delta_v_v,delta_v_mv,g_eff_vm_per_n,analytic_order
BiOI,prompt,100.0,10.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.0004998145007072357,0.49981450070723565,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,100.0,20.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00023311094530542513,0.23311094530542514,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,100.0,20.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.0014262242625670274,1.4262242625670274,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,100.0,20.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.0009996290014144713,0.9996290014144713,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,200.0,5.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00011655547265271257,0.11655547265271257,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,200.0,5.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.0007131121312835137,0.7131121312835137,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,200.0,5.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.0004998145007072357,0.49981450070723565,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,200.0,10.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00023311094530542513,0.23311094530542514,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,200.0,10.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.0014262242625670274,1.4262242625670274,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,200.0,10.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.0009996290014144713,0.9996290014144713,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,200.0,20.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00046622189061085027,0.4662218906108503,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,200.0,20.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.0028524485251340548,2.852448525134055,0.0007131121312835137,BiOBr>BiOI>BiOCl
BiOI,prompt,200.0,20.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,0.0019992580028289427,1.9992580028289426,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,10.0,5.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,1.4633994253747184e-05,0.014633994253747184,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,10.0,5.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,3.565700965649477e-05,0.03565700965649477,0.0007131401931298953,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,10.0,5.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,2.4991225901474588e-05,0.02499122590147459,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,10.0,10.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,2.9267988507494368e-05,0.029267988507494368,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,10.0,10.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,7.131401931298954e-05,0.07131401931298954,0.0007131401931298953,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,10.0,10.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,4.9982451802949176e-05,0.04998245180294918,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,10.0,20.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,5.8535977014988736e-05,0.058535977014988735,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,10.0,20.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.00014262803862597907,0.1426280386259791,0.0007131401931298953,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,10.0,20.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,9.996490360589835e-05,0.09996490360589835,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,25.0,5.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,3.658498563436796e-05,0.03658498563436796,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,25.0,5.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,8.914252414123693e-05,0.08914252414123693,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,25.0,5.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,6.247806475368647e-05,0.06247806475368647,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,25.0,10.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,7.316997126873592e-05,0.07316997126873592,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,25.0,10.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.00017828504828247386,0.17828504828247385,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,25.0,10.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.00012495612950737294,0.12495612950737293,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,25.0,20.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00014633994253747184,0.14633994253747185,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,25.0,20.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0003565700965649477,0.3565700965649477,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,25.0,20.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.0002499122590147459,0.24991225901474587,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,50.0,5.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,7.316997126873592e-05,0.07316997126873592,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,50.0,5.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.00017828504828247386,0.17828504828247385,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,50.0,5.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.00012495612950737294,0.12495612950737293,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,50.0,10.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00014633994253747184,0.14633994253747185,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,50.0,10.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0003565700965649477,0.3565700965649477,0.0007131401931298955,BiOBr>BiOI>BiOCl
BiOI,vasp-electronic,50.0,10.0,6.236877579788737,0.00067,2.760155217788116e-14,0.02760155217788116,0.0002499122590147459,0.24991225901474587,0.0004998245180294918,BiOBr>BiOI>BiOCl
BiOCl,vasp-electronic,50.0,20.0,5.224848031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,0.0002926798850749437,0.2926798850749437,0.0002926798850749437,BiOBr>BiOI>BiOCl
BiOBr,vasp-electronic,50.0,20.0,5.412790088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0007131401931298955,0.7131401931298954,0.0007131401931298955,BiOBr>BiOI>BiOCl
