material,image_type,archive_path,sha256,data_size,pixel_size_nm_per_pixel,fov_um,magnification,accelerating_voltage,condition,scale_bar_um,measured_major_um,measured_minor_um,measured_thickness_nm,measurement_status
BiOBr,TEM,TEM/数据处理/BiOBr/1-2.dm3,d0c326b4d2c4b557ddcde4f178b8ce153dd1059f83e31030ee8657b93f40c1ba,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-2.tif,ec39406a3f4bcaac6f51ea930c8c430be0975ff49284787198a00034f4fa10bc,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-3.dm3,d81769abbe6190b08d6357975accc9ec687a43bb313ee0f2f7d137910e01616e,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-3.tif,a916bc3f452a5ca8cb0602168c61cbe1eeac32be46e48f204d18ec3e9b2f3f44,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-4.dm3,215df27137b3382dabdab99f5464e02cc0679be982fd99c74726ed3131582834,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-4.tif,7aa6849ef3b0d58031731d7469972be19664aba8fdd75c481483ea96231c9216,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-5.dm3,3d4d14c8cca4e5be22dc6f14dfa945e5e846c23baa7d5ba526524cde8818064f,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-5.tif,8c9bc1682e4d07c7b71b746b7cac8bfa8fb7bd4a1022558a7e5ec02ef317985a,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-6.dm3,6c899500095232094a5a6778323f23492890fbdaad1655eaf6129e61695bb725,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-6.tif,edadde79e4d05d882954a2b91b56448fa11e3e0802a2ffa13afe5c14065b2db0,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-7.dm3,ec71b57078fa4948509926c68e8939d747ec5186e92282ae8c15fce2a7e7e5ad,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-7.tif,a331337799583555d1dcb38303bbe63d1df450b26414fb8e33c3dcb157dee765,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-8.dm3,0f573de284ede3f568039583a72372f0cf5a03292235baa6d060c8f7ca956658,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-8.tif,34c2ccfb8b9ad8aeb77f1775e916b7e93e80d7ecbe5a121e2799b22195b8fea2,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-9.dm3,92ddb3b914810b4ae3b5e8797ca6d7f451f38768790753163ea0e505718a4216,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-9.tif,36d50f2e051966091371973546045e9becc6f0e401a18249ed77cc62a7e05876,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1.dm3,9d17c01f9815d932ac2ca1cc2bab21d4b7f0c5b87e8ec9a7b49a9243994c8bb3,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1.tif,c6bd09863da29814e508a492613a463719bbb792d2d760929b3c0d32f39d0811,,,,,,,,,,,scale_bar_manual
BiOCl,SEM,SEM/20260310-SEM/1-Cl-SEM/4_5398.tif,ca7e6797dc4d3fca2b8ec9183ca45cea5613de27f6be91bcc99f4696329d9499,1280x960,0.9921875,1.27,100000,5000 Volt,Vacc=5.00kV Mag=x100k WD=9.1mm,,,,,pending_manual_annotation
